character,address,ledger_size,case_count,under_300,actions_300_399,actions_400_499,actions_500_599,actions_600_699,actions_700_plus,case_labels,direct_callees,evidence
Reimu,0x00491480,3767,96,15,13,11,28,19,10,"0x235;0x236;0x258;0x259;0x25A;0x25C;0x25D;0x25E;0x260;0x292;0x261;0x262;0x264;0x266;0x268;0x26B;0x28A;0x28B;0x29D;0x2B7;0x2B8;0x2C6;0x2C7;0x2D0;0x2D1;0x2DA;0x2DB;0x2E4;0x2F8;0x31D;0x31E;0x12D;0x140;0x12E;0x12F;0x130;0x131;0x132;0x133;0x134;0x135;0x136;0x141;0x142;0x190;0x191;0x19A;0x19C;0x192;0x194;0x196;0x198;0x19E;0x1A0;0x1A2;0x1F4;0x1F5;0x1F6;0x1F7;0x200;0x201;0x1F9;0x1FA;0x1FB;0x1FC;0x1FE;0x1FF;0x208;0x209;0x20A;0x20B;0x20D;0x20E;0x212;0x213;0x21C;0x21D;0x221;0x222;0x226;0x227;0x4;0x5;0x46;0x47;0x48;0x49;0x58;0x4A;0x4B;0x4C;0x4D;0x4E;0x59;0x91;0xD6","0x00433CC0;0x00434450;0x00434470;0x00459970;0x00459C80;0x0045BB10;0x0045C8B0;0x0045DF60;0x004642D0;0x004737A0",IDA Pro MCP complete decompile and direct-callee inventory 2026-08-11
Marisa,0x004B81F0,2446,91,0,14,20,31,15,11,"0x1F8;0x1F9;0x1FA;0x1FE;0x200;0x208;0x209;0x20D;0x20E;0x212;0x213;0x21C;0x21D;0x21E;0x221;0x223;0x226;0x227;0x230;0x231;0x232;0x233;0x235;0x236;0x237;0x238;0x23A;0x23B;0x23C;0x23D;0x257;0x258;0x259;0x25A;0x260;0x262;0x263;0x292;0x25B;0x25D;0x25E;0x25F;0x264;0x267;0x265;0x26B;0x2DA;0x2DC;0x2C3;0x2D0;0x2D2;0x2C4;0x2C6;0x2C7;0x2D1;0x2DB;0x2DD;0x12C;0x12D;0x12F;0x141;0x142;0x12E;0x130;0x131;0x132;0x133;0x134;0x135;0x136;0x140;0x190;0x191;0x192;0x19B;0x194;0x196;0x19F;0x198;0x199;0x19A;0x19C;0x19E;0x1A0;0x1A2;0x1A4;0x1A5;0x1A6;0x1AE;0x1AF;0x1B0","0x00433B90;0x00459970;0x0045AA60;0x004642D0;0x00495BE0",IDA Pro MCP complete decompile and direct-callee inventory 2026-08-11
Sakuya,0x004DDB20,2106,78,0,14,15,24,16,9,"0x1F5;0x1F6;0x1F7;0x1F8;0x1F9;0x1FA;0x208;0x209;0x20D;0x20E;0x21C;0x21D;0x21E;0x21F;0x221;0x222;0x223;0x224;0x230;0x231;0x232;0x235;0x236;0x257;0x258;0x259;0x25A;0x25D;0x25F;0x25B;0x25C;0x260;0x261;0x262;0x263;0x2D0;0x25E;0x290;0x2C6;0x2C7;0x264;0x267;0x265;0x2C3;0x2C4;0x2D1;0x2D2;0x2DA;0x2E4;0x12C;0x12D;0x12F;0x141;0x142;0x12E;0x130;0x131;0x132;0x133;0x135;0x134;0x136;0x140;0x190;0x191;0x192;0x194;0x195;0x196;0x198;0x199;0x19A;0x19B;0x19C;0x19E;0x19F;0x1A0;0x1A2","0x00459970",IDA Pro MCP complete decompile and direct-callee inventory 2026-08-11
Alice,0x004F9320,1551,71,2,14,14,26,10,5,"0x1F5;0x1F9;0x1FA;0x21C;0x21D;0x1FB;0x1FC;0x208;0x209;0x20A;0x20B;0x20D;0x20E;0x212;0x213;0x21E;0x21F;0x221;0x222;0x238;0x223;0x224;0x230;0x23A;0x235;0x236;0x258;0x259;0x25B;0x25C;0x25F;0x260;0x261;0x25A;0x25D;0x25E;0x2C6;0x2C7;0x2D0;0x2D1;0x2DA;0xC6;0xD6;0x12C;0x12F;0x141;0x12D;0x12E;0x130;0x131;0x132;0x133;0x134;0x135;0x136;0x140;0x142;0x190;0x191;0x19A;0x19B;0x19C;0x192;0x194;0x196;0x198;0x199;0x19E;0x19F;0x1A0;0x1A2","0x00433B90;0x00434470;0x00459970",IDA Pro MCP complete decompile and direct-callee inventory 2026-08-11
Patchouli,0x0051D140,3132,80,2,14,15,21,14,14,"0x1F9;0x1FA;0x208;0x209;0x20D;0x20E;0x21C;0x21D;0x21E;0x221;0x222;0x230;0x231;0x235;0x236;0x237;0x238;0x244;0x245;0x249;0x24A;0x258;0x25C;0x259;0x28B;0x25A;0x25B;0x25D;0x25E;0x25F;0x262;0x264;0x267;0x265;0x2B2;0x2BC;0x2BD;0x2BE;0x2BF;0x2C0;0x2C3;0x2C1;0x2C2;0x2C4;0x2C5;0x2C6;0x2D0;0x2D1;0x2DA;0xC6;0xD6;0x12C;0x12D;0x12E;0x12F;0x141;0x142;0x130;0x131;0x132;0x133;0x134;0x135;0x136;0x140;0x190;0x191;0x192;0x197;0x194;0x196;0x199;0x19F;0x198;0x19A;0x19B;0x19C;0x19E;0x1A0;0x1A2","0x00433B90;0x00433CC0;0x00434470;0x00434800;0x00459970;0x00459C80;0x0045B9E0;0x0045BB10;0x0045C8B0;0x0045DF60",IDA Pro MCP complete decompile and direct-callee inventory 2026-08-11
Youmu,0x00539D70,1424,60,0,16,12,21,8,3,"0x1F9;0x1FA;0x1FE;0x1FF;0x230;0x231;0x235;0x236;0x23A;0x23B;0x208;0x209;0x21C;0x21D;0x221;0x20D;0x20E;0x211;0x212;0x213;0x222;0x258;0x25B;0x259;0x25A;0x25D;0x25E;0x25F;0x2C6;0x25C;0x2D0;0x2DA;0x12C;0x12D;0x12F;0x137;0x141;0x142;0x143;0x12E;0x130;0x131;0x134;0x132;0x135;0x133;0x136;0x140;0x190;0x191;0x192;0x19A;0x19B;0x19C;0x194;0x198;0x19E;0x19F;0x1A0;0x1A2","0x00434470;0x00459970;0x004642D0",IDA Pro MCP complete decompile and direct-callee inventory 2026-08-11
Remilia,0x00554A00,1802,73,0,15,14,20,14,10,"0x12C;0x12D;0x12F;0x142;0x12E;0x130;0x131;0x132;0x145;0x133;0x134;0x135;0x136;0x140;0x141;0x190;0x191;0x192;0x19A;0x19B;0x194;0x196;0x198;0x199;0x19C;0x19E;0x19F;0x1A0;0x1A2;0x1F9;0x1FA;0x208;0x209;0x20D;0x20E;0x212;0x213;0x21C;0x21D;0x21E;0x223;0x221;0x222;0x230;0x231;0x235;0x236;0x237;0x257;0x258;0x259;0x25C;0x25A;0x25D;0x25B;0x25E;0x25F;0x2C6;0x2C7;0x260;0x262;0x263;0x264;0x267;0x265;0x2C3;0x2C4;0x2C5;0x2D0;0x2D1;0x2DA;0x2DB;0x2E4","0x00459970",IDA Pro MCP complete decompile and direct-callee inventory 2026-08-11
Yuyuko,0x0056C490,2083,88,0,14,14,28,16,16,"0x1F6;0x1F7;0x1F9;0x1FA;0x1FB;0x1FC;0x1FE;0x1FF;0x200;0x201;0x208;0x209;0x20A;0x20B;0x20D;0x20E;0x21C;0x21D;0x221;0x222;0x223;0x230;0x231;0x232;0x235;0x236;0x237;0x257;0x258;0x25A;0x25D;0x25E;0x259;0x25C;0x260;0x262;0x263;0x25B;0x25F;0x291;0x264;0x267;0x265;0x28B;0x2BC;0x2BD;0x2BE;0x2BF;0x2C0;0x2C3;0x2C1;0x2C2;0x2C4;0x2C5;0x2C6;0x2D0;0x2DA;0x2D5;0x2D6;0x2DB;0x12C;0x12D;0x12F;0x142;0x12E;0x130;0x131;0x132;0x133;0x135;0x134;0x136;0x140;0x141;0x190;0x191;0x19B;0x192;0x19A;0x19C;0x194;0x196;0x198;0x199;0x19E;0x1A0;0x19F;0x1A2","0x00459970;0x0045AA60",IDA Pro MCP complete decompile and direct-callee inventory 2026-08-11
Yukari,0x00589F20,3441,89,15,13,13,26,10,12,"0x232;0x233;0x235;0x236;0x258;0x259;0x25A;0x25B;0x25C;0x25D;0x25E;0x290;0x25F;0x2E4;0x2E5;0x2EE;0x267;0x2BC;0x2BD;0x2C4;0x2C6;0x2D0;0x2D1;0x2DA;0x31D;0x31E;0x12D;0x12F;0x140;0x12E;0x130;0x131;0x132;0x133;0x135;0x134;0x136;0x141;0x142;0x190;0x191;0x19A;0x19B;0x19C;0x192;0x194;0x196;0x198;0x1A2;0x19E;0x19F;0x1A0;0x1F4;0x1F5;0x1F6;0x1F7;0x1F9;0x1FA;0x1FE;0x1FF;0x208;0x209;0x20A;0x20B;0x20D;0x20E;0x21C;0x21D;0x21E;0x21F;0x221;0x222;0x223;0x224;0x4;0x5;0x46;0x47;0x48;0x49;0x58;0x4A;0x4B;0x4C;0x4D;0x4E;0x59;0x91;0xD6","0x00433B90;0x00433C40;0x00433CC0;0x00434450;0x00434470;0x00459970;0x0045AA60;0x004642D0;0x004737A0",IDA Pro MCP complete decompile and direct-callee inventory 2026-08-11
Suika,0x005ACC10,2577,85,0,16,15,23,15,16,"0x12C;0x12D;0x12E;0x12F;0x130;0x131;0x132;0x133;0x134;0x135;0x136;0x140;0x141;0x142;0x14A;0x14B;0x190;0x191;0x192;0x194;0x195;0x196;0x198;0x199;0x19A;0x19B;0x19C;0x19E;0x19F;0x1A0;0x1A2;0x1F9;0x1FA;0x1FB;0x1FC;0x208;0x209;0x20A;0x20B;0x20D;0x20E;0x212;0x213;0x21C;0x21D;0x21E;0x221;0x222;0x230;0x231;0x235;0x236;0x237;0x257;0x258;0x28A;0x259;0x25C;0x25A;0x25B;0x25D;0x2DA;0x25E;0x25F;0x260;0x262;0x263;0x264;0x267;0x265;0x2BC;0x2BD;0x2BE;0x2BF;0x2C0;0x2C3;0x2C6;0x2C7;0x2D0;0x2C1;0x2C2;0x2C4;0x2C5;0x2E4;0x2EF","0x004069A0;0x00459970;0x0045AA60;0x004642D0",IDA Pro MCP complete decompile and direct-callee inventory 2026-08-11
