character,address,ledger_size,decompiler_lines,case_count,actions_200_299,actions_300_399,case_labels,direct_callees,tail_target,evidence
Reimu,0x00494050,6952,982,11,8,3,"0xC8;0xC9;0xCE;0xD0;0xD1;0xD2;0xD6;0xDB;0x12C;0x140;0x141","0x00493490;0x0045B9E0;0x00493580;0x004937D0;0x00493C90;0x0045BBB0;0x004631E0;0x00493380;0x00434860;0x00493920;0x00493540;0x004935D0;0x00493A10;0x00493300;0x00493B00",0x0045C7A0,IDA Pro MCP complete decompile direct-callee inventory and tail-jump xref 2026-08-11
Marisa,0x004B9A60,7664,1140,23,20,3,"0xC8;0xC9;0xCA;0xCB;0xCC;0xCD;0xCE;0xCF;0xD0;0xD1;0xD2;0xD3;0xD4;0xD5;0xD6;0xD7;0xD8;0xD9;0xDA;0xDB;0x12C;0x140;0x141","0x00493490;0x0045B9E0;0x00493580;0x004937D0;0x00493C90;0x0045BBB0;0x00493540;0x00493380;0x00434860;0x00493920;0x004631E0;0x004935D0;0x00493A10;0x00493300;0x00493B00",0x0045C7A0,IDA Pro MCP complete decompile direct-callee inventory and tail-jump xref 2026-08-11
Sakuya,0x004DEF70,5897,852,13,10,3,"0xC8;0xC9;0xCA;0xCB;0xCC;0xCD;0xCE;0xCF;0xD0;0xD1;0x12C;0x140;0x141","0x00493490;0x0045B9E0;0x00493580;0x004937D0;0x00493C90;0x0045BBB0;0x00493540;0x00493380;0x00434860;0x00493920;0x004631E0;0x004935D0;0x00493A10;0x00493300;0x00493B00",0x0045C7A0,IDA Pro MCP complete decompile direct-callee inventory and tail-jump xref 2026-08-11
Alice,0x004FA5C0,6677,962,13,10,3,"0xC8;0xC9;0xCA;0xCB;0xCC;0xCD;0xCE;0xCF;0xD0;0xD1;0x12C;0x140;0x141","0x00493490;0x0045B9E0;0x00493580;0x004937D0;0x00493C90;0x0045BBB0;0x00493540;0x00493380;0x00434860;0x00493920;0x004631E0;0x004935D0;0x00493A10;0x00493300;0x00493B00",0x0045C7A0,IDA Pro MCP complete decompile direct-callee inventory and tail-jump xref 2026-08-11
Patchouli,0x0051EA60,6351,907,9,9,0,"0xC8;0xC9;0xCA;0xCB;0xCC;0xCD;0xCE;0xCF;0xD2","0x00493490;0x0045B9E0;0x00493580;0x004937D0;0x00493C90;0x0045BBB0;0x00493540;0x00493380;0x00434860;0x00493920;0x004631E0;0x004935D0;0x00493A10;0x00493300;0x00493B00",0x0045C7A0,IDA Pro MCP complete decompile direct-callee inventory and tail-jump xref 2026-08-11
Youmu,0x0053B040,6017,836,12,8,4,"0xC8;0xC9;0xCA;0xCB;0xCC;0xCD;0xCE;0xCF;0x12C;0x140;0x141;0x142","0x00493490;0x0045B9E0;0x00493580;0x004937D0;0x00493C90;0x0045BBB0;0x00493540;0x00493380;0x00434860;0x00493920;0x004631E0;0x004935D0;0x00493A10;0x00493300;0x00493B00",0x0045C7A0,IDA Pro MCP complete decompile direct-callee inventory and tail-jump xref 2026-08-11
Remilia,0x00555D90,5415,812,8,8,0,"0xC8;0xC9;0xCA;0xCB;0xCC;0xCD;0xCE;0xCF","0x00493490;0x0045B9E0;0x00493580;0x004937D0;0x00493C90;0x0045BBB0;0x00493540;0x00493380;0x00434860;0x00493920;0x004631E0;0x004935D0;0x00493A10;0x00493300;0x00493B00",0x0045C7A0,IDA Pro MCP complete decompile direct-callee inventory and tail-jump xref 2026-08-11
Yuyuko,0x0056D8E0,6180,902,9,9,0,"0xC8;0xC9;0xCA;0xCB;0xCC;0xCD;0xCE;0xCF;0xD0","0x00493490;0x0045B9E0;0x00493580;0x004937D0;0x00493C90;0x0045BBB0;0x00493540;0x00493380;0x00434860;0x00493920;0x004631E0;0x004935D0;0x00493A10;0x00493300;0x00493B00",0x0045C7A0,IDA Pro MCP complete decompile direct-callee inventory and tail-jump xref 2026-08-11
Yukari,0x0058BBA0,6233,942,12,9,3,"0xC8;0xC9;0xCA;0xCB;0xCC;0xCD;0xCE;0xCF;0xD7;0x12C;0x140;0x141","0x00493490;0x0045B9E0;0x00493580;0x00493C90;0x0045BBB0;0x00493540;0x00493380;0x00434860;0x00493920;0x004631E0;0x004935D0;0x00493A10;0x00493300;0x00493B00;0x0058BA30",0x0045C7A0,IDA Pro MCP complete decompile direct-callee inventory and tail-jump xref 2026-08-11
Suika,0x005AE470,5849,837,12,9,3,"0xC8;0xC9;0xCA;0xCB;0xCC;0xCD;0xCE;0xCF;0xD0;0x12C;0x140;0x141","0x00493490;0x0045B9E0;0x00493580;0x004937D0;0x00493C90;0x0045BBB0;0x00493540;0x00493380;0x00434860;0x00493920;0x004631E0;0x004935D0;0x00493A10;0x00493300;0x00493B00",0x0045C7A0,IDA Pro MCP complete decompile direct-callee inventory and tail-jump xref 2026-08-11
Udonge,0x005D63F0,6684,949,11,8,3,"0xC8;0xCA;0xCB;0xCD;0xCE;0xCF;0xD0;0xD1;0x12C;0x140;0x141","0x00493490;0x0045B9E0;0x00462380;0x00493580;0x004642D0;0x004937D0;0x00493C90;0x0045BBB0;0x00493540;0x00493380;0x00434860;0x00493920;0x004631E0;0x004935D0;0x00493A10;0x00493300;0x00493B00",0x0045C7A0,IDA Pro MCP complete decompile direct-callee inventory and tail-jump xref 2026-08-11
Komachi,0x005F7190,6181,868,11,8,3,"0xC8;0xC9;0xCA;0xCB;0xCC;0xCD;0xCE;0xD3;0x12C;0x140;0x141","0x00493490;0x0045B9E0;0x00493580;0x004937D0;0x00493C90;0x0045BBB0;0x00493540;0x00493380;0x00434860;0x00493920;0x004631E0;0x004935D0;0x00493A10;0x00493300;0x00493B00",0x0045C7A0,IDA Pro MCP complete decompile direct-callee inventory and tail-jump xref 2026-08-11
Aya,0x00617B20,7161,1012,10,7,3,"0xC8;0xC9;0xCA;0xCD;0xCE;0xD3;0xD4;0x12C;0x140;0x141","0x00493490;0x0045B9E0;0x00493580;0x004937D0;0x00493C90;0x0045BBB0;0x00493540;0x00493380;0x00434860;0x00493920;0x004631E0;0x004935D0;0x00493A10;0x00493300;0x00493B00",0x0045C7A0,IDA Pro MCP complete decompile direct-callee inventory and tail-jump xref 2026-08-11
Iku,0x00630800,6302,911,10,10,0,"0xC8;0xC9;0xCA;0xCB;0xCD;0xCE;0xCF;0xD0;0xD1;0xD2","0x00493490;0x0045B9E0;0x00493580;0x004937D0;0x00493C90;0x0045BBB0;0x00493540;0x00493380;0x00434860;0x00493920;0x004631E0;0x004935D0;0x00493A10;0x00493300;0x00493B00",0x0045C7A0,IDA Pro MCP complete decompile direct-callee inventory and tail-jump xref 2026-08-11
Tenshi,0x0064AB80,5352,791,8,8,0,"0xC8;0xC9;0xCA;0xCB;0xCC;0xCD;0xCE;0xCF","0x00493490;0x0045B9E0;0x00493580;0x004937D0;0x00493C90;0x0045BBB0;0x00493540;0x00493380;0x00434860;0x00493920;0x004631E0;0x004935D0;0x00493A10;0x00493300;0x00493B00",0x0045C7A0,IDA Pro MCP complete decompile direct-callee inventory and tail-jump xref 2026-08-11
