fighter,address,analysis_form,analysis_lines,case_occurrences,unique_case_count,case_labels,slice_boundaries,field_access_summary,distinctive_contracts,return_topology,evidence
Alice,0x004E9A20,ida_hexrays,5426,165,105,0;1;2;3;4;5;6;7;8;9;10;197;198;199;200;201;202;203;204;208;209;210;211;212;214;215;220;221;222;223;224;225;226;301;302;303;304;305;306;307;308;309;310;320;321;322;400;401;402;404;406;408;409;410;411;412;414;415;416;418;500;501;505;506;507;508;521;522;523;525;526;530;531;540;541;542;543;545;546;547;548;560;565;566;568;570;571;600;601;602;603;604;605;606;607;608;609;695;696;710;711;720;721;730;770,0x004E9A20..0x004E9C1F prelude|0x004E9C20..0x004EBF48 low table|0x004EBF49..0x004EBFE5 direct 300|0x004EBFE6..0x004EEF48 middle table|0x004EEF49..0x004F3F08 high table|0x004F3F09..0x004F4100 direct 795/797/798 and default,"common +13C:u16 R +170:pointer R +7A0/+7A2:u16 W; low uses +EC..+100:f32 +104:u8 +13E..+142:u16 +47E:u8 +6B4/+6B8/+6C8:u32 +730..+740; middle adds +180:u32 +6BC/+6C0/+6C4:u32 +750:u8; high adds +605/+609/+60F:u8 +655:u8 +764..+76A:u16 and +1DA8:u32",vptr+0x08 action transition (106 occurrences)|vptr+0x0C (26 occurrences)|default 0x004738D0,void; 120 explicit returns,IDA MCP exact-target complete 5426-line case field callee and return audit 2026-08-12
Youmu,0x0052FDA0,ida_hexrays,5076,105,101,0;1;2;3;4;5;6;7;8;9;10;197;198;199;200;201;202;203;204;208;209;210;211;212;214;215;220;221;222;223;224;225;226;301;302;303;304;305;306;307;308;309;310;311;320;321;322;323;400;401;402;404;406;408;409;410;411;412;414;415;416;418;500;501;505;506;510;511;520;521;525;526;529;530;531;540;545;546;565;566;570;571;600;601;602;603;604;605;606;607;695;696;710;720;730;731;740;770;795;797;798,0..300 low/direct|301..559 middle table at 0x005326F0|565..798 high table at 0x00536300|default 0x004738D0,"common +13C:u16 R +13E/+140/+142:u16 RW +EC..+100:f32 RW +104:u8 RW +170:pointer R; low adds +12C:f32 +482:i16 +4A8/+4AC/+4AE:u16 +4B8/+6B4/+6B8/+6C8:u32 +72C:u8 +730..+740; middle adds +47E/+47F/+608/+750/+7CD:u8 +6BC/+6C0/+6C4:u32 +730:u16 +73C:f32; high adds +108/+10C/+11C/+120:f32 +180:u32 +184/+655/+7E5:u8 +48A/+730..+768/+7E6/+7EA/+7EC:u16 +76A:u32",action 200 uniquely calls 0x0045D320 after 0x004735E0 and +47E=1; callee writes +670=3 then forwards 4 and 0x00FFFF00 through this+0x674,void at shared vslot caller; default calls 0x004738D0 then returns,IDA MCP exact-target complete 5076-line case field callee and return audit 2026-08-12
Yuyuko,0x0055D4A0,ida_hexrays,7016,118,110,0;1;2;3;4;5;6;7;8;9;10;197;198;199;200;201;202;203;204;208;209;210;211;212;214;215;220;221;222;223;224;225;226;301;302;303;304;305;306;307;308;309;310;320;321;322;400;401;402;404;406;408;409;410;411;412;414;415;416;418;501;502;503;505;506;507;508;510;511;512;513;520;521;522;523;525;526;540;541;545;546;560;561;562;565;566;567;599;600;601;602;603;604;605;606;607;608;651;657;695;696;707;708;709;710;720;725;726;730;731,0..226 low table|300 direct|301..418 normal table|500 direct|501..731 high table|770 direct,"common +13C/+13E/+140/+142:u16 +EC..+100:f32 +104:u8 +144/+170/+180:u32; low adds +482/+4A8/+4AC/+4AE/+730..+736:u16 +4B8/+6B4/+6B8/+6C8:u32 +72C:u8 +740:f32; 301..418 adds +47E/+750:u8 +730/+732/+734:u16; 501..731 adds +113/+17C/+47F/+604/+60A/+655:u8 +48A/+738/+764/+766/+768:u16 +73C/+740/+744:f32",entry writes +7A0=0 and +7A2=90; clean selector separation with no normal/high fallthrough; vptr+0x08 transition,void; 124 physical ret sites and two pre-gate early returns,IDA MCP exact-target complete 7016-line case field callee and return audit 2026-08-12
Marisa,0x004A2F40,exact_target_tables,17576,125,125,0;1;2;3;4;5;6;7;8;9;10;197;198;199;200;201;202;203;204;208;209;210;211;212;214;215;220;221;222;223;224;225;226;301;302;303;304;305;306;307;308;309;310;320;321;322;400;401;402;404;406;408;409;410;411;412;414;415;416;418;420;421;422;430;431;432;500;504;505;506;510;512;520;521;525;526;530;531;541;542;545;547;550;551;560;561;562;563;565;566;567;568;570;571;572;573;599;600;601;602;603;604;605;606;607;608;610;611;612;613;615;619;658;695;696;707;708;710;711;720;730;731;732;733;770,0x004A2F40..0x004A36A6 prelude|0x004A36A7..0x004A5EBA low table|0x004A5EBC..0x004A5F5F direct 300|0x004A5F60..0x004AAD31 middle table|0x004AAD33..0x004AAE5D direct 540|0x004AAE5E..0x004B30C5 high table|0x004B30C6..0x004B33C6 direct 795/797/798 and default,"common +13C:i16 R +13E/+140/+142:u16 +EC..+100:f32 +104:u8 +170:pointer; roster fields +47E/+47F/+482/+48A/+4A8/+4AC/+4AE/+4B8 +609/+60B/+60F/+655 +6AC/+6B4/+6B8/+6BC/+6C0/+6C4/+6C8 +72C/+730..+76C; local auxiliary block +7A0..+7B0 RW",entry initializes +7A0=0 and +7A2=106; 29 direct callees plus vptr +0x08/+0x0C/+0x14; defaults 0x004B317C/0x004B317E call 0x004738D0,void __thiscall; 138 physical ret instructions; shared caller ignores return,"Exact-target IDA boundary/vtable/callee plus PE instruction and compressed byte-map table audit; Hex-Rays and read-only Ghidra decompile unavailable 2026-08-12"
Patchouli,0x0050EC80,ida_hexrays,6380,111,107,0;1;2;3;4;5;6;7;8;9;10;197;198;199;200;201;202;203;204;208;209;210;211;212;214;215;220;221;222;223;224;225;226;301;302;303;304;305;306;307;308;309;310;320;321;322;400;401;402;404;406;408;409;410;411;412;414;415;416;418;500;501;502;503;505;506;520;521;525;526;540;541;545;546;561;565;566;567;568;570;571;580;581;585;586;599;600;601;602;603;604;605;606;607;608;610;651;695;696;710;720;721;730;770;795;797;798,0x0050EC80..0x0050F446 prelude|0x0050F447..0x00511CEF low table|0x00511CF0..0x00511DB4 direct 300|0x00511DB5..0x00518209 middle table|0x0051820A..0x0051859A direct 560|0x0051859B..0x0051C133 high table and default,"common +13C:i16 +13E/+140/+142:u16 +EC..+100:f32 +104:u8 +144/+170/+180:u32; low adds +47E +4A8/+4AC/+4AE +4B8 +6B4/+6B8/+6C8 +72C +730..+740; middle adds +17C +47E +6BC/+6C0/+6C4 +730/+732/+744/+750 +7B4; high adds +17C/+47F/+48A +607/+608/+655 +730..+76C +7A4",nested pre-dispatch global switch has 4 cases and is excluded from selector labels; high action 721 twice calls 0x00406750 then vptr +0x08(720) and +0x0C(3),void __thiscall; defaults call 0x004738D0; shared caller ignores return,"IDA MCP exact-target 6380-line case field callee and return audit; ledger span retained over 7-byte non-contiguous IDA discrepancy 2026-08-12"
Udonge,0x005BF460,exact_target_tables,17439,105,105,0;1;2;3;4;5;6;7;8;9;10;11;197;198;199;200;201;202;203;204;208;209;210;211;212;214;215;220;221;222;223;224;225;226;301;302;303;304;305;306;307;308;309;310;320;321;322;400;401;402;404;406;408;409;410;411;412;414;415;416;418;500;501;505;506;510;511;521;525;526;527;528;529;530;531;540;541;545;546;550;551;560;561;565;566;567;568;600;602;603;605;606;607;608;609;650;652;655;695;696;710;725;726;730;770,0x005BF460..0x005BFB49 prelude|0x005BFB4A..0x005C22A9 low table|0x005C22AA..0x005C234D direct 300|0x005C234E..0x005C945E middle table|0x005C945F..0x005C95FC direct 520|0x005C95FD..0x005CF761 high table|0x005CF762..0x005CF942 direct 795 and default,"common +13C:i16 +13E/+140/+142:u16 +EC..+100:f32 +104:u8 +170:pointer; low adds +47E/+482/+4A8/+4AC/+4AE/+4B8 +6B4/+6B8/+6C8 +72C +730..+740; middle adds +113/+180/+184/+47F +6BC/+6C0/+6C4 +730..+750 +7A6; high adds +113/+180/+184/+48A/+4AE +606/+60A/+60B/+655 +6C0/+6C4 +730..+76C +7A6/+7AE/+7B0/+7B4",entry initializes +7A0=0 and +7A2=95 then updates +7A8/+7AC/+7AE/+7B4/+7B8; action window 150..158 repeatedly spawns object code 0x3E6; 29 direct callees,void __thiscall; all observed exits plain ret; shared caller ignores return,"Exact-target IDA boundary/vtable/callee plus PE instruction and compressed byte-map table audit; Ghidra fallback recovered control flow but not switches after Hex-Rays failure 2026-08-12"
Reimu,0x004787B0,exact_target_tables,20840,126,126,0;1;2;3;4;5;6;7;8;9;10;71;72;73;74;75;76;77;78;88;89;145;197;198;199;200;201;202;203;204;208;209;210;211;212;214;215;220;221;222;223;224;225;226;301;302;303;304;305;306;307;308;309;310;320;321;322;400;401;402;404;406;408;410;412;414;416;418;500;501;502;503;505;506;507;508;510;511;512;513;520;521;522;523;525;526;530;531;540;541;545;546;550;551;561;565;566;600;601;602;604;605;606;608;609;610;612;614;616;619;650;651;658;669;695;696;710;711;720;730;740;760;770;795;797;798,0x004787B0..0x004789E3 prelude|0x004789E4..0x0047C3CC low table|0x0047C3CD..0x0047C46E direct 300|0x0047C46F..0x0048711A middle table|0x0048711B..0x00487286 direct 560|0x00487287..0x0048C62E high table|0x0048C62F..0x0048C63D default,"common +13C:i16 +13E/+140/+142:u16 +EC..+100:f32 +104:u8 +170:pointer; low adds +47E/+482/+490/+4A8/+4AC/+4AE/+4B8 +6AC/+6B4/+6B8/+6C8 +72C +730..+740 +7A0..+7A4; middle adds +110..+113 +11C/+120/+12C +17C/+180/+184 +47F +609/+60A +6BC/+6C0/+6C4 +730..+750; high adds +174/+184 +4A8/+4AC +60B/+655 +730..+76C +780/+784/+788 +7C8..+7CC",entry initializes +7A0=0 and +7A2=85; action window 150..158 spawns object code 0x3E6; +7CA>=7 with action<=10 dispatches vptr +0x08(669); 32 direct callees,void __thiscall; 153 plain ret instructions; default 0x0048C62F calls 0x004738D0,"Exact-target IDA vtable/callee plus PE instruction and compressed byte-map audit; Hex-Rays and strict headless Ghidra failed; ledger body-byte count retained beside instruction-supported span 2026-08-12"
Remilia,0x00544D40,ida_hexrays,7740,172,104,0;1;2;3;4;5;6;7;8;9;10;197;198;199;200;201;202;203;204;208;209;210;211;212;214;215;220;221;222;223;224;225;226;301;302;303;304;306;307;308;309;310;320;321;322;325;400;401;402;404;406;408;409;410;411;412;414;415;416;418;500;501;505;506;520;521;525;526;530;531;540;541;545;546;547;564;565;566;599;600;601;602;603;604;605;606;607;695;696;707;708;709;710;711;720;721;730;731;740;741;770;795;797;798,0x00544D40..0x00544EE6 prelude|0x00544EE7..0x00547167 low table|0x00547168..0x00547202 direct 300|0x00547203..0x0054D0EC middle table|0x0054D0ED..0x0054D461 direct 560/561|0x0054D462..0x00553F49 high table and default,"common +13C:i16 +13E/+140/+142:u16 +EC..+100:f32 +104:u8 +170:pointer; low adds +12C/+47E +4A8/+4AC/+4AE/+4B8 +6B4/+6B8 +72C +730..+740; middle adds +17C/+180/+184 +47F/+605 +6BC/+6C0/+6C4 +728/+730/+740/+744/+750; high adds +108/+10C/+113/+168 +47F/+48A/+655 +730..+768",action 505 calls 0x004631E0 and writes +730=1/2/3; high action 721 computes peer angle then calls 0x00433BE0 and spawns object 825; 31 direct callees,void __thiscall; default 0x00553F3B calls 0x004738D0; shared caller ignores return,"IDA MCP exact-target 7740-line top-level case field callee and return audit; ledger body-byte count retained over 3-byte non-contiguous IDA difference 2026-08-12"
Tenshi,0x0063C900,ida_hexrays,5960,120,105,0;1;2;3;4;5;6;7;8;9;10;99;197;198;199;200;201;202;203;204;208;209;210;211;212;214;215;220;221;222;223;224;225;226;301;302;303;304;305;306;307;308;309;310;320;321;400;401;402;404;405;406;408;409;410;411;412;414;415;416;418;500;501;505;520;521;525;526;527;541;542;545;546;547;548;560;561;565;566;567;599;600;601;602;603;604;605;606;607;657;695;696;710;720;730;731;740;741;750;770;771;780;781;782;788,0x0063C900..0x0063CCCA prelude|0x0063CCCB..0x0063F895 low table|0x0063F896..0x0063F936 direct 300|0x0063F937..0x006428FB middle table|0x006428FC..0x00642A22 direct 540|0x00642A23..0x00647DDF high table|0x00647DE0..0x006483A7 direct 795/797/798 and default,"common +13C:i16 +13E/+140/+142:u16 +EC..+100:f32 +104:u8 +170:pointer; low adds +113/+47E/+482 +4A8/+4AC/+4AE/+4B8/+4E9/+4EB/+4EC/+55A/+55C +6B4/+6B8/+6C8 +72C +730..+740 +840; middle adds +168/+17C/+180/+184 +605/+609 +6BC/+6C0 +730/+744/+750 +82E/+830/+834; high adds +113/+180/+184 +47F/+48A/+4E9/+4EC/+55A/+607/+655 +6C0/+6C4 +730..+78C +7A4..+7C0 +828/+82C/+838",entry writes +7A0=0 +7A2=95 +830=0 and updates +82E/+838/+4C0/+4C4; high extension +780..+7C0 and +828/+82C remains character-local; 43 direct callees,void __thiscall; 125 physical ret instructions; default 0x0064808B calls 0x004738D0,"IDA MCP exact-target 5960-line case field callee and return audit; ledger non-contiguous body-byte count retained beside instruction-supported 0xBAA8 span 2026-08-12"
Sakuya,0x004CA870,exact_target_tables,19539,108,108,0;1;2;3;4;5;6;7;8;9;10;197;198;199;200;201;202;203;204;208;209;210;211;212;214;215;220;221;222;223;224;225;226;301;302;303;304;305;306;307;308;309;310;320;321;322;400;401;402;404;405;406;408;409;410;411;412;414;415;416;418;500;501;502;503;505;506;520;521;525;526;541;542;543;545;546;547;548;560;561;562;565;566;567;599;600;601;602;603;604;605;606;607;608;609;656;695;696;707;708;710;711;720;721;722;730;740;770,0x004CA870..0x004CAB44 prelude|0x004CAB45..0x004CD2C3 low table|0x004CD2C4..0x004CD365 direct 300|0x004CD366..0x004D30CD middle table|0x004D30CE..0x004D369C direct 540|0x004D369D..0x004DCB77 high table|0x004DCB78..0x004DCD91 direct 795/797/798 and default,"common +13C:i16 +13E/+140/+142:u16 +EC..+100:f32 +104:u8 +170:pointer; prelude adds +174/+186 +48A/+4A8/+4AC +751 +7A0..+7A6; low adds +47E/+482/+4AE/+4B8 +6B4/+6B8/+6C8 +72C +730..+740; middle adds +17C/+180/+184 +605/+606 +6BC/+6C0/+6C4 +730..+750; high adds +47F/+48A/+4A8 +606/+607/+60A/+655 +6B8/+6C0/+6C4 +730..+76C +780/+784/+788 +7A4/+7A6",entry writes +7A0=0 and +7A2=94; action interval 150..158 spawns object 0x3E6; even +7A6 writes +48A=1; 25 direct callees,void __thiscall; 159 plain ret instructions; default 0x004DCBE7 calls 0x004738D0,"Exact-target IDA vtable/callee plus ledger-span PE instruction and compressed byte-map audit; Hex-Rays failed and IDA primary chunk is short by 0x8292 2026-08-12"
