fighter,address,vtable,ledger_size,span_end,ida_reported_size,boundary_state,selector_field,table_ranges,dispatch_sites,direct_callee_count,shared_fingerprint,distinctive_callees,slice_status,evidence
Reimu,0x004787B0,0x006B013C,81488,0x0048C63D,81550,span_agrees_noncontiguous_body,+0x13C:u16,0..226;301..551;561..798,0x00478A0E;0x0047C497;0x0048729E,32,vslot28-common-20,0x00434390;0x0045C8B0;0x004738D0;0x00476ED0;0x004785E0,numeric_dispatch_mapped,IDA MCP exact-target read-only vtable caller boundary table and callee audit 2026-08-12
Marisa,0x004A2F40,0x006B0594,66695,0x004B33C6,66695,contiguous_agrees,+0x13C:i16,0..226;300 direct;301..531;540 direct;541..770;795/797/798 direct,0x004A36D3;0x004A5F88;0x004AAE88,29,vslot28-common-20,0x00406750,complete_structural_slices,IDA MCP exact-target boundary/vtable/callee plus PE compressed-table audit 2026-08-12
Sakuya,0x004CA870,0x006B0924,74937,0x004DCD91,41511,ida_chunk_conflict_ledger_span_ret_supported,+0x13C:u16,0..226;301..526;541..770,0x004CAB71;0x004CD38E;0x004D36C5,25,vslot28-common-20,0x00433BE0;0x00406500;0x0045CAE0,numeric_dispatch_mapped,IDA primary chunk is short but address queries retain the owner through the ledger terminal ret; exact-target audit 2026-08-12
Alice,0x004E9A20,0x006B0BEC,42718,0x004F4100,42721,span_agrees_noncontiguous_body,+0x13C:u16,0..226;301..508;521..770,0x004E9C27;0x004EC00E;0x004EEF71,27,vslot28-common-20,,numeric_dispatch_mapped,IDA MCP exact-target read-only vtable caller boundary table and callee audit 2026-08-12
Patchouli,0x0050EC80,0x006B0EBC,54445,0x0051C133,54452,span_agrees_noncontiguous_body,+0x13C:i16,0..226;300 direct;301..559;560 direct;561..798,0x0050F471;0x00511DB5;0x0051859B,29,vslot28-common-20,0x00406750,complete_structural_slices,IDA MCP exact-target Hex-Rays case/field/callee audit with ledger boundary authority 2026-08-12
Youmu,0x0052FDA0,0x006B1154,37692,0x005390DB,37692,contiguous_agrees,+0x13C:u16,0..226;301..546;565..798,0x0052FEAB;0x005326F0;0x00536300,29,vslot28-common-20,0x00433BE0;0x0045D320,numeric_dispatch_mapped,IDA MCP exact-target read-only vtable caller boundary table and callee audit 2026-08-12
Remilia,0x00544D40,0x006B13D4,61959,0x00553F49,61962,span_agrees_noncontiguous_body,+0x13C:u16,0..226;301..547;564..798,0x00544F11;0x00547230;0x0054D479,31,vslot28-common-20,0x00433BE0;0x004631E0,numeric_dispatch_mapped,IDA MCP exact-target read-only vtable caller boundary table and callee audit 2026-08-12
Yuyuko,0x0055D4A0,0x006B165C,58619,0x0056B99A,58619,contiguous_agrees,+0x13C:u16,0..226;301..418;501..731,0x0055D664;0x0055FFB2;0x0056436F,27,vslot28-common-20,,numeric_dispatch_mapped,IDA MCP exact-target read-only vtable caller boundary table and callee audit 2026-08-12
Yukari,0x0057AA60,0x006B18DC,57042,0x00588931,57042,contiguous_agrees,+0x13C:u16,0..226;301..418;501..750;771..798,0x0057AD94;0x0057E932;0x00581DEC;0x005885D0,32,vslot28-common-20,0x0045B9E0;0x00406500;0x004785E0,numeric_dispatch_mapped,IDA MCP exact-target read-only vtable caller boundary table and callee audit 2026-08-12
Suika,0x00598100,0x006B1B9C,79426,0x005AB74A,79435,span_agrees_noncontiguous_body,+0x13C:u16,0..226;301..547;561..798,0x005981FF;0x0059A635;0x005A17D7,37,vslot28-common-20,0x004762C0;0x004762E0;0x00459C90;0x0045AA90;0x00406650,numeric_dispatch_mapped,IDA MCP exact-target read-only vtable caller boundary table and callee audit 2026-08-12
Udonge,0x005BF460,0x006B1E3C,66787,0x005CF942,66787,contiguous_agrees,+0x13C:i16,0..226;300 direct;301..511;520 direct;521..770;795 direct,0x005BFB74;0x005C2376;0x005C9625,29,vslot28-common-20,0x00406600,complete_structural_slices,IDA MCP exact-target boundary/vtable/callee plus PE compressed-table audit 2026-08-12
Komachi,0x005E5860,0x006B2074,63993,0x005F5258,63993,contiguous_agrees,+0x13C:u16,0..226;301..526;541..770,0x005E5AC8;0x005E835A;0x005EE1A0,30,vslot28-common-20,0x0045B9E0;0x0045AA90,numeric_dispatch_mapped,IDA MCP exact-target read-only vtable caller boundary table and callee audit 2026-08-12
Aya,0x006018F0,0x006B22DC,65593,0x00611930,65601,span_agrees_noncontiguous_body,+0x13C:u16,0..226;301..418;502..740;791..798,0x00601AB1;0x00604395;0x0060794F;0x0061143E,33,vslot28-common-20,0x004762C0;0x004762E0;0x00433BE0;0x00434390,numeric_dispatch_mapped,IDA MCP exact-target read-only vtable caller boundary table and callee audit 2026-08-12
Iku,0x0061FDE0,0x006B2534,59038,0x0062E47D,59038,contiguous_agrees,+0x13C:u16,0..226;301..547;561..798,0x0061FFDB;0x00622C0C;0x00628573,32,vslot28-common-20,0x004762C0;0x004762E0;0x00476300;0x00433890;0x00406500,numeric_dispatch_mapped,IDA MCP exact-target read-only vtable caller boundary table and callee audit 2026-08-12
Tenshi,0x0063C900,0x006B279C,47777,0x006483A7,47784,span_agrees_noncontiguous_body,+0x13C:u16,0..226;301..527;541..788,0x0063CCF5;0x0063F95F;0x00642A4B,43,vslot28-common-20,0x0045B9E0;0x00439D90;0x00439E60;0x00439EA0;0x0046E130;0x0043B6D0;0x00434780,numeric_dispatch_mapped,IDA MCP exact-target read-only vtable caller boundary table and callee audit 2026-08-12
