caller,callee,required_status,evidence
0x0045BB10,0x0045B9E0,implemented,exact checked front sequence-entry access
0x0045BB10,0x00439B40,matching,exact score-data singleton access
0x0045BB10,0x0042C060,decompiled,exact score-result key and record publication
0x0045BB10,0x004643F0,decompiled,exact embedded Fighter+0x3D0 effect reset
0x0045BB10,0x00431860,decompiled,exact player-indexed spell display callback
0x00432500,0x00404FA0,identified,IDA Pro release each image handle before container reset
0x00432500,0x004132D0,decompiled,IDA Pro DwordDeque4 storage clear
0x00432500,0x0042D240,implemented,Complete authored recursive SpellTree subtree destruction
0x004325B0,0x00431590,decompiled,IDA Pro short-key temporary-tree nil allocation
0x004325B0,0x00431730,decompiled,IDA Pro short-key temporary-tree checked lookup
0x004325B0,0x00431ED0,decompiled,IDA Pro short-key temporary-tree unique insertion
0x004325B0,0x00432040,decompiled,IDA Pro checked temporary-tree range erase at parser exit
0x004325B0,0x0040EB20,decompiled,Complete source CSV load dependency
0x004325B0,0x0040EE50,decompiled,Complete source seven-field integer parsing dependency
0x004325B0,0x0040EF50,decompiled,Complete source owning string-field parsing dependency
0x004325B0,0x0040F050,decompiled,Complete source row-advance dependency
0x004325B0,0x0040F780,decompiled,Complete source CSV storage cleanup dependency
0x004325B0,0x00404EC0,decompiled,Complete source optional per-card texture load dependency
0x004325B0,0x00404F30,decompiled,Complete source 512x256 composite texture creation dependency
0x004325B0,0x00416A50,matching,Exact VC8 four-byte handle deque push dependency
0x004325B0,0x00408A40,library,Exact VC8 String28 append specialization
0x004325B0,0x00408B40,identified,Observed String28 plus literal concatenation dependency
0x004325B0,0x00431950,matching,Exact SpellRecordView deep-copy dependency
0x004325B0,0x00432310,library,Exact VC8 SpellTree unique insertion specialization
0x004325B0,0x00431430,library,Exact VC8 checked SpellTree iterator predecessor specialization
0x004591D0,0x0040EE50,decompiled,Complete scenario row integer-field consumption
0x004591D0,0x0040EF50,decompiled,Complete scenario event-name owning string consumption
0x004591D0,0x004020B0,identified,Exact source String28 slice copy for owning resolver argument
0x004591D0,0x0043AC30,matching,Exact scenario event-name lookup dependency
0x004591D0,0x0040F050,decompiled,Complete scenario CSV row-advance dependency
0x004591D0,0x0051D0D0,library,Exact native selected-short deque storage reset dependency
0x004591D0,0x00429B90,library,Exact native selected-short deque append dependency
0x004591D0,0x0046D000,matching,Exact integer list-node allocation dependency
0x004591D0,0x00454890,library,VC8 integer-list size increment dependency
0x004591D0,0x00459170,identified,Checked source-to-destination integer-list assignment dependency
0x0045BA40,0x0045B9E0,implemented,Complete checked next sequence-entry access
0x0045BA40,0x004317A0,implemented,Complete next spell-record lookup dependency
0x0042AAB0,0x004275E0,matching,Exact checked fixed-slot selector dependency
0x0042AAB0,0x0042A7B0,library,Exact native VC8 std::deque<short> assignment dependency
0x0042ABF0,0x004275E0,matching,Exact checked fixed-slot selector dependency
0x0042ABF0,0x0042A7B0,library,Exact native VC8 std::deque<short> assignment dependency
0x0042AA00,0x0042A7B0,library,Exact native VC8 deque assignment used for all three envelope payloads
0x0042ADD0,0x0042A8E0,library,Exact native VC8 deque copy constructor used for all three owning payloads
0x0042ADD0,0x0051D0D0,library,Exact COMDAT-folded deque cleanup passed to the EH vector copy helper
0x0042AE50,0x0042AA00,matching,Exact envelope assignment inside the forward range loop
0x0042AEA0,0x0042AA00,matching,Exact envelope assignment inside the backward range loop
0x0042AEF0,0x0042AA00,matching,Exact envelope assignment inside the fill loop
0x00429640,0x0051D0D0,library,Exact COMDAT-folded deque cleanup for all three envelope payloads
0x0042A330,0x0051D0D0,library,Exact COMDAT-folded deque cleanup across the envelope range
0x0042AF20,0x0042ADD0,decompiled,Complete per-element envelope copy construction dependency
0x0042AF20,0x00429640,decompiled,Complete exception cleanup dependency
0x0042AFD0,0x0042AE50,decompiled,Complete forward tail assignment dependency
0x0042AFD0,0x0042A330,decompiled,Complete old-tail destruction dependency
0x0042B040,0x0042AEA0,decompiled,Complete backward overlap-safe assignment dependency
0x0042B070,0x0042ADD0,decompiled,Complete counted envelope copy construction dependency
0x0042B070,0x00429640,decompiled,Complete exception cleanup dependency
0x0042A9E0,0x0042A330,decompiled,Direct fixed-slot range destruction forwarding dependency
0x0042B120,0x0042AFD0,decompiled,Checked erase and end-publication dependency
0x0042B160,0x0042B070,decompiled,Counted uninitialized-fill construction dependency
0x0042B1A0,0x0042AF20,decompiled,Uninitialized range-copy construction dependency
0x0042B1D0,0x004275C0,library,Exact native vector-size dependency for growth selection
0x0042B1D0,0x00427620,library,Verified native overflow-checked raw envelope allocation dependency
0x0042B1D0,0x0042ADD0,decompiled,Owning value-copy dependency
0x0042B1D0,0x0042AF20,decompiled,EH-safe prefix and suffix copy construction dependency
0x0042B1D0,0x0042A330,decompiled,Old-storage range destruction dependency
0x0042B1D0,0x0042B040,decompiled,Overlap-safe in-place tail movement dependency
0x0042B1D0,0x0042AEF0,decompiled,In-place fill assignment dependency
0x0042B1D0,0x0042B160,library,Exact native counted uninitialized-fill wrapper dependency
0x0042B1D0,0x0042B1A0,library,Exact native uninitialized range-copy wrapper dependency
0x0042B1D0,0x0051D0D0,library,Exact temporary-envelope deque cleanup dependency
0x0042B4F0,0x0042ADD0,decompiled,Owning fill-value copy dependency
0x0042B4F0,0x0042AFD0,decompiled,Checked full-range erase dependency
0x0042B4F0,0x0042B1D0,library,Verified native counted fixed-slot insertion dependency
0x0042B4F0,0x0051D0D0,library,Exact temporary-envelope deque cleanup dependency
0x0042A3F0,0x00429B90,library,Exact native append used for all three decoded short payloads
0x0042A3F0,0x0051D0D0,library,Exact native reset of the third payload before decoding
0x0042B5D0,0x0042AFD0,decompiled,Checked fixed-slot vector clear dependency
0x0042B5D0,0x0042B4F0,library,Exact native default-envelope count assignment dependency
0x0042B5D0,0x0051D0D0,library,Exact temporary-envelope deque cleanup dependency
0x0042B6C0,0x0042B120,library,Exact native fixed-slot vector clear dependency
0x0042B6C0,0x0042B4F0,library,Exact native default-envelope count assignment dependency
0x0042B6C0,0x0042A3F0,decompiled,Per-slot binary envelope deserialization dependency
0x00421310,0x00433B90,matching,IDA Pro sole direct reset_fighter_action_scratch dependency
0x0042C100,0x00439860,matching,docs/BATTLE.md observed mode gate
0x0042C100,0x00439C90,matching,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x00430D90,0x00430C30,matching,target direct call and exact 0x00430D90 comparison
0x00430DE0,0x00430C80,identified,target direct call and exact 0x00430DE0 comparison
0x00430DE0,0x00432D80,identified,target direct call and exact 0x00430DE0 comparison
0x00430DE0,0x00433490,identified,target direct call and exact 0x00430DE0 comparison
0x004317A0,0x004316C0,library,exact VC8 std::map find dependency for local and common trees
0x00432D80,0x00432500,matching,Exact spell owner cleanup before parser dispatch
0x00432D80,0x004325B0,implemented,Complete authored filtered spell CSV parser forwarding
0x00432D80,0x0043ABE0,identified,docs/BATTLE.md character path component resolution
0x00432E20,0x004021C0,identified,Ghidra MCP get_function_callees program th105.exe 2026-08-10
0x00432E20,0x00404EC0,identified,Ghidra MCP get_function_callees program th105.exe 2026-08-10
