address,origin,subsystem,disposition,confidence,evidence_id
0x00401000,authored_game,render,include_authored,inferred,ledger-authored-module
0x00401040,authored_game,render,include_authored,inferred,ledger-authored-module
0x00401060,unknown,,review,unknown,
0x004010C0,authored_game,render,include_authored,inferred,ledger-authored-module
0x004010F0,unknown,,review,unknown,
0x00401130,unknown,,review,unknown,
0x00401180,unknown,,review,unknown,
0x00401250,unknown,,review,unknown,
0x00401290,unknown,,review,unknown,
0x004012D0,unknown,,review,unknown,
0x00401460,unknown,,review,unknown,
0x004014F0,unknown,,review,unknown,
0x00401650,unknown,,review,unknown,
0x00401680,unknown,,review,unknown,
0x004016B0,vc8_runtime,runtime,exclude_authored,observed,ledger-library
0x00401720,unknown,,review,unknown,
0x00401760,unknown,,review,unknown,
0x00401770,unknown,,review,unknown,
0x004017E0,unknown,,review,unknown,
0x00401860,unknown,,review,unknown,
0x00401870,unknown,,review,unknown,
0x00401890,unknown,,review,unknown,
0x004018A0,unknown,,review,unknown,
0x00401930,unknown,,review,unknown,
0x004019B0,unknown,,review,unknown,
0x00401AA0,unknown,,review,unknown,
0x00401B10,unknown,,review,unknown,
0x00401BF0,unknown,,review,unknown,
0x00401C40,unknown,,review,unknown,
0x00401D00,unknown,,review,unknown,
0x00401D70,authored_game,audio,include_authored,inferred,ledger-authored-module
0x00401DE0,unknown,,review,unknown,
0x00401E20,unknown,,review,unknown,
0x00401EF0,unknown,,review,unknown,
0x00401F60,unknown,,review,unknown,
0x00402000,unknown,,review,unknown,
0x00402070,unknown,,review,unknown,
0x00402090,unknown,,review,unknown,
0x004020B0,authored_game,ui,include_authored,inferred,ledger-authored-module
0x00402190,unknown,,review,unknown,
0x004021A0,unknown,,review,unknown,
0x004021B0,unknown,,review,unknown,
0x004021C0,authored_game,ui,include_authored,inferred,ledger-authored-module
0x00402290,unknown,,review,unknown,
0x00402320,unknown,,review,unknown,
0x004023E0,unknown,,review,unknown,
0x00402400,unknown,,review,unknown,
0x00402450,unknown,,review,unknown,
0x004024C0,unknown,,review,unknown,
0x0040253A,unknown,,review,unknown,
0x00402562,unknown,,review,unknown,
0x004025CB,unknown,,review,unknown,
0x00402620,unknown,,review,unknown,
0x00402680,authored_game,assets,include_authored,inferred,ledger-authored-module
0x004027F0,authored_game,assets,include_authored,inferred,ledger-authored-module
0x004028A0,unknown,,review,unknown,
0x004028D0,unknown,,review,unknown,
0x00402950,unknown,,review,unknown,
0x004029C0,unknown,runtime,review,unknown,
0x00402A20,unknown,,review,unknown,
0x00402A50,vc8_runtime,runtime,exclude_authored,observed,ledger-library
0x00402AB0,unknown,,review,unknown,
0x00402C10,unknown,,review,unknown,
0x00402C50,unknown,,review,unknown,
0x00402D00,unknown,,review,unknown,
0x00402D80,unknown,,review,unknown,
0x00402DA0,unknown,,review,unknown,
0x00402E00,unknown,,review,unknown,
0x00402EE0,unknown,,review,unknown,
0x00402F80,unknown,,review,unknown,
0x004030F0,unknown,,review,unknown,
0x00403190,unknown,,review,unknown,
0x00403540,unknown,,review,unknown,
0x00403870,unknown,,review,unknown,
0x00403940,unknown,,review,unknown,
0x004039E0,unknown,,review,unknown,
0x00403A70,unknown,,review,unknown,
0x00403C40,unknown,,review,unknown,
0x00403C60,unknown,,review,unknown,
0x00403DC0,unknown,,review,unknown,
0x00403E50,unknown,,review,unknown,
0x00403EC0,unknown,,review,unknown,
0x00403F10,unknown,,review,unknown,
0x00403F60,unknown,,review,unknown,
0x00403FB0,unknown,,review,unknown,
0x00404110,unknown,,review,unknown,
0x00404260,unknown,,review,unknown,
0x00404450,unknown,,review,unknown,
0x004044E0,unknown,,review,unknown,
0x00404600,unknown,,review,unknown,
0x00404610,unknown,,review,unknown,
0x00404630,unknown,,review,unknown,
0x004047D0,unknown,,review,unknown,
0x00404890,unknown,,review,unknown,
0x00404960,unknown,,review,unknown,
0x00404980,authored_game,render,include_authored,inferred,ledger-authored-module
0x00404A10,authored_game,battle,include_authored,inferred,ledger-authored-module
0x00404B70,unknown,,review,unknown,
0x00404BF0,unknown,,review,unknown,
0x00404C40,unknown,,review,unknown,
0x00404C70,unknown,,review,unknown,
0x00404CC0,unknown,,review,unknown,
0x00404EC0,authored_game,ui,include_authored,inferred,ledger-authored-module
0x00404F30,authored_game,assets,include_authored,inferred,ledger-authored-module
0x00404FA0,authored_game,ui,include_authored,inferred,ledger-authored-module
0x00405020,unknown,,review,unknown,
0x00405090,unknown,,review,unknown,
0x00405130,unknown,,review,unknown,
0x00405200,unknown,,review,unknown,
0x00405270,unknown,,review,unknown,
0x00405290,unknown,,review,unknown,
0x004052F0,unknown,,review,unknown,
0x00405370,unknown,,review,unknown,
0x004053D0,unknown,,review,unknown,
0x00405440,unknown,,review,unknown,
0x004054D0,unknown,,review,unknown,
0x004056D0,unknown,,review,unknown,
0x00405700,unknown,,review,unknown,
0x00405790,unknown,,review,unknown,
0x004057A0,unknown,,review,unknown,
0x004057F0,unknown,,review,unknown,
0x00405800,unknown,,review,unknown,
0x00405860,unknown,,review,unknown,
0x00405910,unknown,,review,unknown,
0x004059B0,unknown,,review,unknown,
0x00405AD0,unknown,,review,unknown,
0x00405C60,unknown,,review,unknown,
0x00405CD0,unknown,,review,unknown,
0x00405D50,unknown,,review,unknown,
0x00405DA0,unknown,,review,unknown,
0x00405E10,unknown,,review,unknown,
0x00405E70,unknown,,review,unknown,
