address,name,size,status,match_percent,unit,evidence
0x004067D0,selector_random_roll,27,matching,100.00,cross-v106a-outcome-random,python3 scripts/build.py --unit cross-v106a-outcome-random --compare --json reports exact 27/27 against TH105 1.06a
0x00407C40,CFileReader_last_read_size,4,matching,100.00,cross-v106a-file-reader,python3 scripts/build.py --unit cross-v106a-file-reader --compare --json reports exact 4/4 against TH105 1.06a
0x00409F40,reset_counters,33,matching,100.00,cross-v106a-input-manager,python3 scripts/build.py --unit cross-v106a-input-manager --compare --json reports exact 33/33 against TH105 1.06a
0x00409F70,build_player_logical_input_mask,378,matching,100.00,cross-v106a-input-logical,python3 scripts/build.py --unit cross-v106a-input-logical --compare --json reports exact 378/378 against TH105 1.06a
0x0040A4E0,get_active_source,4,matching,100.00,cross-v106a-input-cluster,python3 scripts/build.py --unit cross-v106a-input-cluster --compare --json reports exact 4/4 against TH105 1.06a
0x0040A4F0,InputStateTableStorage_ctor,23,matching,100.00,cross-v106a-input-cluster,python3 scripts/build.py --unit cross-v106a-input-cluster --compare --json reports exact 23/23 against TH105 1.06a
0x0040A660,is_initial_press,69,matching,100.00,cross-v106a-input-cluster,python3 scripts/build.py --unit cross-v106a-input-cluster --compare --json reports exact 69/69 against TH105 1.06a
0x0040A6B0,set_input_state_table_entry,16,matching,100.00,cross-v106a-input-manager,python3 scripts/build.py --unit cross-v106a-input-manager --compare --json reports exact 16/16 against TH105 1.06a
0x0040CF20,FileReaderOwner_dtor,15,matching,100.00,cross-v106a-file-reader,python3 scripts/build.py --unit cross-v106a-file-reader --compare --json reports exact 15/15 against TH105 1.06a
0x0040D930,is_raw_key_down,16,matching,100.00,cross-v106a-input-manager,python3 scripts/build.py --unit cross-v106a-input-manager --compare --json reports exact 16/16 against TH105 1.06a
0x00412A20,string28_equals_c_string,53,matching,100.00,cross-v106a-string28-equals,python3 scripts/build.py --unit cross-v106a-string28-equals --compare --json reports exact 53/53 against TH105 1.06a
0x0041B880,CPackageFileReader_size,4,matching,100.00,cross-v106a-file-reader,python3 scripts/build.py --unit cross-v106a-file-reader --compare --json reports exact 4/4 against TH105 1.06a
0x00427290,set_target_20_enabled_2c,17,matching,100.00,cross-v106a-camera-state,python3 scripts/build.py --unit cross-v106a-camera-state --compare --json reports exact 17/17 against TH105 1.06a
0x004284C0,FixedSlotStoreView_select_slot,60,matching,100.00,cross-v106a-fixed-slot-select,python3 scripts/build.py --unit cross-v106a-fixed-slot-select --compare --json reports exact 60/60 against TH105 1.06a
0x00428560,SynchronizedInputState_is_input_available,8,matching,100.00,battle-input-state,python3 scripts/build.py --unit battle-input-state --compare --json reports exact 8/8 against TH105 1.06a
0x0042B2F0,FixedSlotEnvelope_deserialize,365,matching,100.00,cross-v106a-fixed-slot-deserialize,python3 scripts/build.py --unit cross-v106a-fixed-slot-deserialize --compare --json reports exact 365/365 against TH105 1.06a
0x0042B460,BattleInputGate_collect_battle_control_bits,224,matching,100.00,cross-v106a-battle-control-collect,python3 scripts/build.py --unit cross-v106a-battle-control-collect --compare --json reports exact 224/224 against TH105 1.06a
0x0042B900,FixedSlotEnvelope_assign,162,matching,100.00,fixed-slot-envelope,python3 scripts/build.py --unit fixed-slot-envelope --compare --json reports exact 162/162 against TH105 1.06a
0x00432310,select_spell_record_id,78,matching,100.00,cross-v106a-spell-data-runtime,python3 scripts/build.py --unit cross-v106a-spell-data-runtime --compare --json reports exact 78/78 against TH105 1.06a
0x00432360,load_spell_data,71,matching,100.00,cross-v106a-spell-data-load-selector,python3 scripts/build.py --unit cross-v106a-spell-data-load-selector --compare --json reports exact 71/71 against TH105 1.06a
0x00435110,reset_fighter_action_scratch,67,matching,100.00,cross-v106a-fighter-action-scratch,python3 scripts/build.py --unit cross-v106a-fighter-action-scratch --compare --json reports exact 67/67 against TH105 1.06a
0x004351C0,CharacterObjectRuntime_advance_frame_and_dispatch,62,matching,100.00,cross-v106a-character-object-runtime,python3 scripts/build.py --unit cross-v106a-character-object-runtime --compare --json reports exact 62/62 against TH105 1.06a
0x00435DC0,is_y_at_or_below_stage_surface,42,matching,100.00,cross-v106a-fighter-gates,python3 scripts/build.py --unit cross-v106a-fighter-gates --compare --json reports exact 42/42 against TH105 1.06a
0x0043F560,MenuCursorState_move_page_backward,111,matching,100.00,cross-v106a-menu-cursor,python3 scripts/build.py --unit cross-v106a-menu-cursor --compare --json reports exact 111/111 against TH105 1.06a
0x0043F5D0,MenuCursorState_move_page_forward,103,matching,100.00,cross-v106a-menu-cursor,python3 scripts/build.py --unit cross-v106a-menu-cursor --compare --json reports exact 103/103 against TH105 1.06a
0x0045AF40,Fighter_zero_velocity_acceleration,27,matching,100.00,fighter-motion-reset,python3 scripts/build.py --unit fighter-motion-reset --compare --json reports exact 27/27 against TH105 1.06a
0x0045C090,count_0x88_byte_stride_entries,31,matching,100.00,cross-v106a-hit-quantities,python3 scripts/build.py --unit cross-v106a-hit-quantities --compare --json reports exact 31/31 against TH105 1.06a
0x0045DBA0,FighterSequenceController_enqueue_record,114,matching,100.00,cross-v106a-sequence-enqueue,python3 scripts/build.py --unit cross-v106a-sequence-enqueue --compare --json reports exact 114/114 against TH105 1.06a
0x0045E070,update_fighter_facing_from_other_x,93,matching,100.00,cross-v106a-fighter-facing,python3 scripts/build.py --unit cross-v106a-fighter-facing --compare --json reports exact 93/93 against TH105 1.06a
0x0045E0D0,is_state_13c_below_32,14,matching,100.00,cross-v106a-fighter-common-update-helpers,python3 scripts/build.py --unit cross-v106a-fighter-common-update-helpers --compare --json reports exact 14/14 against TH105 1.06a
0x0045E0E0,is_state_13c_in_32_95,28,matching,100.00,cross-v106a-fighter-gates,python3 scripts/build.py --unit cross-v106a-fighter-gates --compare --json reports exact 28/28 against TH105 1.06a
0x0045E100,is_state_13c_in_96_c7,28,matching,100.00,cross-v106a-fighter-gates,python3 scripts/build.py --unit cross-v106a-fighter-gates --compare --json reports exact 28/28 against TH105 1.06a
0x0045E390,is_positive_y_and_state_window,53,matching,100.00,cross-v106a-fighter-gates,python3 scripts/build.py --unit cross-v106a-fighter-gates --compare --json reports exact 53/53 against TH105 1.06a
0x0045FA30,AttackObject_ctor,193,matching,100.00,cross-v106a-attack-object-ctor,python3 scripts/build.py --unit cross-v106a-attack-object-ctor --compare --json reports exact 193/193 against TH105 1.06a
0x00464200,initialize_fighter_packed_input_history,136,matching,100.00,fighter-input-phase,python3 scripts/build.py --unit fighter-input-phase --compare --json reports exact 136/136 against TH105 1.06a
0x00464290,get_slot_character,11,matching,100.00,cross-v106a-battle-setup,python3 scripts/build.py --unit cross-v106a-battle-setup --compare --json reports exact 11/11 against TH105 1.06a
0x004642A0,is_slot_active,11,matching,100.00,cross-v106a-battle-setup,python3 scripts/build.py --unit cross-v106a-battle-setup --compare --json reports exact 11/11 against TH105 1.06a
0x00465190,Fighter_spawn_owned_object_via_manager,66,matching,100.00,fighter-owned-object-spawn,python3 scripts/build.py --unit fighter-owned-object-spawn --compare --json reports exact 66/66 against TH105 1.06a
0x004652B0,FighterSequenceEffect_reset_and_set_color,50,matching,100.00,cross-v106a-fighter-sequence-effect,python3 scripts/build.py --unit cross-v106a-fighter-sequence-effect --compare --json reports exact 50/50 against TH105 1.06a
0x0046B3B0,accumulate_collision_extents,139,matching,100.00,cross-v106a-collision,python3 scripts/build.py --unit cross-v106a-collision --compare --json reports exact 139/139 against TH105 1.06a
0x0046B590,accumulate_descriptor_extents,67,matching,100.00,cross-v106a-hit-geometry,python3 scripts/build.py --unit cross-v106a-hit-geometry --compare --json reports exact 67/67 against TH105 1.06a
0x0046B5E0,accumulate_descriptor_pair_extents,110,matching,100.00,cross-v106a-hit-geometry,python3 scripts/build.py --unit cross-v106a-hit-geometry --compare --json reports exact 110/110 against TH105 1.06a
0x0046B6C0,reset_collision_extents,23,matching,100.00,cross-v106a-collision,python3 scripts/build.py --unit cross-v106a-collision --compare --json reports exact 23/23 against TH105 1.06a
0x0046B6E0,transform_local_aabb_to_world,91,matching,100.00,cross-v106a-collision,python3 scripts/build.py --unit cross-v106a-collision --compare --json reports exact 91/91 against TH105 1.06a
0x0046B740,test_and_accumulate_float_aabb_overlap,97,matching,100.00,cross-v106a-collision,python3 scripts/build.py --unit cross-v106a-collision --compare --json reports exact 97/97 against TH105 1.06a
0x0046B8B0,test_descriptor_point_inside,142,matching,100.00,cross-v106a-hit-geometry,python3 scripts/build.py --unit cross-v106a-hit-geometry --compare --json reports exact 142/142 against TH105 1.06a
0x0046BF30,adjust_counter_482,74,matching,100.00,cross-v106a-fighter-state,python3 scripts/build.py --unit cross-v106a-fighter-state --compare --json reports exact 74/74 against TH105 1.06a
0x0046C7F0,try_candidate_flag_outcome,169,matching,100.00,cross-v106a-candidate-outcomes,python3 scripts/build.py --unit cross-v106a-candidate-outcomes --compare --json reports exact 169/169 against TH105 1.06a
0x0046C8A0,try_frame_flag_pair_outcome,143,matching,100.00,cross-v106a-hit-detection,python3 scripts/build.py --unit cross-v106a-hit-detection --compare --json reports exact 143/143 against TH105 1.06a
0x0046C9E0,try_group_b_pair_response,147,matching,100.00,cross-v106a-object-responses,python3 scripts/build.py --unit cross-v106a-object-responses --compare --json reports exact 147/147 against TH105 1.06a
0x00470D00,battle_publish_fighter_terminal_effect_470300,90,matching,100.00,cross-v106a-battle-round-resolution,python3 scripts/build.py --unit cross-v106a-battle-round-resolution --compare --json reports exact 90/90 against TH105 1.06a
0x00471340,BattleController_dispatch_battle_state_frame,535,matching,100.00,cross-v106a-battle-dispatcher,python3 scripts/build.py --unit cross-v106a-battle-dispatcher --compare --json reports exact 535/535 against TH105 1.06a
0x00492F90,CharacterObject_ctor,78,matching,100.00,cross-v106a-character-object-ctor,python3 scripts/build.py --unit cross-v106a-character-object-ctor --compare --json reports exact 78/78 against TH105 1.06a
0x00493D40,Fighter_lookup_command_gate_value,78,matching,100.00,cross-v106a-command-gate-lookup,python3 scripts/build.py --unit cross-v106a-command-gate-lookup --compare --json reports exact 78/78 against TH105 1.06a
0x004963A0,CharacterObject_advance_state_six_counter_conditional,66,matching,100.00,cross-v106a-character-object-runtime,python3 scripts/build.py --unit cross-v106a-character-object-runtime --compare --json reports exact 66/66 against TH105 1.06a
0x004FCA60,CharacterObjectEffectEmitter_spawn_parented_related_object,77,matching,100.00,cross-v106a-character-object-effects,python3 scripts/build.py --unit cross-v106a-character-object-effects --compare --json reports exact 77/77 against TH105 1.06a
0x0053CDF0,YoumuObjectRecordState_apply_owner_record,175,matching,100.00,cross-v106a-youmu-object-record,python3 scripts/build.py --unit cross-v106a-youmu-object-record --compare --json reports exact 175/175 against TH105 1.06a
0x0064CCB0,CharacterObjectEffectEmitter_spawn_unparented_related_object,78,matching,100.00,cross-v106a-character-object-effects,python3 scripts/build.py --unit cross-v106a-character-object-effects --compare --json reports exact 78/78 against TH105 1.06a
0x0064CD00,CharacterObject_advance_phase_counter_conditional,73,matching,100.00,cross-v106a-character-object-runtime,python3 scripts/build.py --unit cross-v106a-character-object-runtime --compare --json reports exact 73/73 against TH105 1.06a
0x00470ED0,battle_run_active_simulation_frame_4704d0,42,matching,100.00,cross-v106a-battle-active-simulation,python3 scripts/build.py --unit cross-v106a-battle-active-simulation --compare --json reports exact 42/42 against TH105 1.06a
0x0045D110,Fighter_finalize_sequence_entry,154,matching,100.00,cross-v106a-fighter-sequence-finalize,python3 scripts/build.py --unit cross-v106a-fighter-sequence-finalize --compare --json reports exact 154/154 against TH105 1.06a
0x00470BC0,battle_initialize_round_state_4701c0,306,matching,100.00,cross-v106a-battle-round-initialization,python3 scripts/build.py --unit cross-v106a-battle-round-initialization --compare --json reports exact 306/306 against TH105 1.06a
0x0042C4D0,configure_session_input_slots,238,matching,100.00,cross-v106a-battle-input-slot-config,python3 scripts/build.py --unit cross-v106a-battle-input-slot-config --compare --json reports exact 238/238 against TH105 1.06a
0x00433A80,clear_spell_entries,171,matching,100.00,cross-v106a-spell-data-clear,python3 scripts/build.py --unit cross-v106a-spell-data-clear --compare --json reports exact 171/171 against TH105 1.06a
0x0046AE70,initialize_battle_fighter_pair,279,matching,100.00,cross-v106a-battle-pair-initialization,python3 scripts/build.py --unit cross-v106a-battle-pair-initialization --compare --json reports exact 279/279 against TH105 1.06a
0x00470D60,battle_advance_round_resolution_470360,358,matching,100.00,cross-v106a-battle-round-resolution,python3 scripts/build.py --unit cross-v106a-battle-round-resolution --compare --json reports exact 358/358 against TH105 1.06a
0x00470F00,BattleController_dispatch_round_phase_34,602,matching,100.00,cross-v106a-battle-round-transition,python3 scripts/build.py --unit cross-v106a-battle-round-transition --compare --json reports exact 602/602 against TH105 1.06a
0x0045A450,ScenarioTransitionView_dispatch_owned_string_458e80,130,matching,100.00,cross-v106a-scenario-string-dispatch,python3 scripts/build.py --unit cross-v106a-scenario-string-dispatch --compare --json reports exact 130/130 against TH105 1.06a
0x0043BFD0,resolve_scenario_event_name,209,matching,100.00,cross-v106a-scenario-event-name-resolver,python3 scripts/build.py --unit cross-v106a-scenario-event-name-resolver --compare --json reports exact 209/209 against TH105 1.06a
0x00470880,battle_initialize_or_transition_46fe80,479,matching,100.00,cross-v106a-battle-controller-setup,python3 scripts/build.py --unit cross-v106a-battle-controller-setup --compare --json reports exact 479/479 against TH105 1.06a
0x00470A60,battle_prepare_match_roster_470060,337,matching,100.00,cross-v106a-battle-controller-setup,python3 scripts/build.py --unit cross-v106a-battle-controller-setup --compare --json reports exact 337/337 against TH105 1.06a
