coff_symbol,address,data_hex,addends,evidence,validation
?g_battle_phase_static_service@th105@@3UPhaseStaticService@1@A,0x006E3DBC,a8096c00,0x0,target first word and direct static-service object address verified from shared battle phase,literal
?g_battle_phase_block@th105@@3PAUBattlePhaseBlock@1@A,0x006E6254,00000000,0x0,target zero-filled battle phase block pointer and strict exact 0x004704D0 probe,address
?g_battle_input_gate@th105@@3PAUBattleInputGate@1@A,0x006E4E28,00000000,0x0,target zero-filled battle input-gate pointer and direct 0x004701C0 load,address
?g_round_counter@th105@@3EA,0x006E4E2E,00000000,0x0,target round counter byte and adjacent three zero-filled bytes verified at the direct 0x00470300 increment,address
?g_mt19937_index@th105@@3HA,0x006E3D9C,71020000,0x0,target MT19937 index initial value 625 verified from image bytes,literal
?g_mt19937_twist_xor@th105@@3PAIA,0x006E49CC,00000000dfb00899,0x0,target MT19937 twist table bytes verified,literal
?g_fighter_state_4b8_default@th105@@3HA,0x006E4E20,00000000,0x0,target initialized dword and direct 0x0045CDD0 fallback load verified,literal
?g_mt19937_state@th105@@3PAIA,0x006E8498,00000000,0x0;0x4;0x630;0x9bc;0xfffffffc,target MT19937 state base indexed displacements and last zero-filled word verified,literal
__real@3fe0000000000000,0x006B73D8,000000000000e03f,0x0,target bytes and IEEE-754 value verified as double 0.5,literal
__real@3f000000,0x006B73E0,0000003f,0x0,target bytes and IEEE-754 value verified as float 0.5 for quantized orientation lookup,literal
__real@3ff8000000000000,0x006ACEB0,000000000000f83f,0x0,target bytes and IEEE-754 value verified as double 1.5 for general hit responses,literal
__real@408f400000000000,0x006AF6D8,0000000000408f40,0x0,target bytes and IEEE-754 value verified as double 1000.0 for hit-accounting scale,literal
__real@3feb333340000000,0x006AEA68,000000403333eb3f,0x0,target widened float 0.85 bytes verified for hit scalar modifier,literal
__real@3fe99999a0000000,0x006AEA70,000000a09999e93f,0x0,target widened float 0.8 bytes verified for hit scalar modifier,literal
__real@3fd3333340000000,0x006AEA78,000000403333d33f,0x0,target widened float 0.3 bytes verified for quantity ratio,literal
__real@3fe6666660000000,0x006AEA80,000000606666e63f,0x0,target widened float 0.7 bytes verified for quantity ratio,literal
__real@3ff0000000000000,0x006B73F8,000000000000f03f,0x0,target double 1.0 bytes verified for table modifier,literal
__real@4024000000000000,0x006B7470,0000000000002440,0x0,target double 10.0 bytes verified for table modifier divisor,literal
__real@4059000000000000,0x006AC9A0,0000000000005940,0x0,target bytes and IEEE-754 value verified as double 100.0,literal
__real@3f647ae140000000,0x006AFB60,00000040e17a643f,0x0,target IDA qword and IEEE-754 value verified as widened float 0.0025 for shared object motion,literal
__real@4000000000000000,0x006AE1C8,0000000000000040,0x0,target IDA qword and IEEE-754 value verified as double 2.0 for shared object motion,literal
__real@3fefae1480000000,0x006B01E8,0000008014aeef3f,0x0,target IDA qword and IEEE-754 value verified as widened float 0.99 for shared object motion,literal
__real@3f847ae140000000,0x006AD668,00000040e17a843f,0x0,target IDA qword and IEEE-754 value verified as widened float 0.01 for shared object motion,literal
__real@40000000,0x006AD3F8,00000040,0x0,target IDA dword and IEEE-754 value verified as float 2.0 for shared object motion clamp,literal
__real@4008000000000000,0x006AFB88,0000000000000840,0x0,target IDA qword and IEEE-754 value verified as double 3.0 for shared object heading increment,literal
__real@3fa99999a0000000,0x006B01E0,000000a09999a93f,0x0,target IDA qword and IEEE-754 value verified as widened float 0.05 for shared object spawn phase,literal
__real@4066800000000000,0x006C0EE0,0000000000806640,0x0,target IDA qword and IEEE-754 value verified as double 180.0 for Alice target heading,literal
